        61607  Coon Rapids city, MN
        61348  Huntington Park city, CA
        61254  West Allis city, WI
        61136  Round Rock city, TX
        60695  Irvington CDP, NJ
        60690  Hamilton city, OH
        60651  Utica city, NY
        60603  Victoria city, TX
        60552  South San Francisco city, CA
        60476  Greenville city, NC
        60433  North Little Rock city, AR
        60389  Boynton Beach city, FL
        60321  St. Charles city, MO
        60308  Davis city, CA
        60220  Burnsville city, MN
        60197  Florence-Graham CDP, CA
        60062  Royal Oak city, MI
        60062  Bristol city, CT
        60051  Monterey Park city, CA
        60020  Delray Beach city, FL
        59984  Elk Grove CDP, CA
        59954  Chico city, CA
        59880  North Miami city, FL
        59734  Anderson city, IN
        59643  Jackson city, TN
        59614  Terre Haute city, IN
        59607  Rapid City city, SD
        59549  Fountainbleau CDP, FL
        59498  Janesville city, WI
        59443  Carol City CDP, FL
        59248  Palm Harbor CDP, FL
        59226  Waltham city, MA
        59107  St. Cloud city, MN
        58974  La Habra city, CA
        58969  Haverhill city, MA
        58918  Yorba Linda city, CA
        58812  Hemet city, CA
        58748  Marietta city, GA
        58720  Des Plaines city, IL
        58707  Lake Forest city, CA
        58598  Palo Alto city, CA
        58474  Layton city, UT
        58268  Council Bluffs city, IA
        58264  Dearborn Heights city, MI
        58244  Meriden city, CT
        58211  Lakewood city, WA
        58047  Fayetteville city, AR
        58014  Encinitas city, CA
        57755  Port Arthur city, TX
        57746  Gardena city, CA
        57737  Burke CDP, VA
        57737  Dothan city, AL
        57716  Temecula city, CA
        57694  Wheaton-Glenmont CDP, MD
        57686  Dubuque city, IA
        57585  Lauderhill city, FL
        57564  Harlingen city, TX
        57502  Kettering city, OH
        57439  Taylorsville city, UT
        57292  Castro Valley CDP, CA
        57247  Galveston city, TX
        57107  Brookline CDP, MA
        57077  Camarillo city, CA
        57053  Missoula city, MT
        56999  Lodi city, CA
        56929  Tracy city, CA
        56901  Kendale Lakes CDP, FL
        56769  Pittsburg city, CA
        56690  Great Falls city, MT
        56646  Lakewood city, OH
        56554  Hempstead village, NY
        56461  Bossier City city, LA
        56407  Reston CDP, VA
        56397  Ellicott City CDP, MD
        56397  Lafayette city, IN
        56348  Lancaster city, PA
        56340  Malden city, MA
        56321  Bolingbrook village, IL
        56287  Diamond Bar city, CA
        56271  Vineland city, NJ
        56265  Mount Prospect village, IL
        56255  Pensacola city, FL
        56063  San Rafael city, CA
        56002  Greenville city, SC
        55977  Concord city, NC
        55976  Taunton city, MA
        55971  Dale City CDP, VA
        55953  Elyria city, OH
        55893  Rocky Mount city, NC
        55810  Turlock city, CA
        55765  Medford city, MA
        55649  The Woodlands CDP, TX
        55635  North Richland Hills city, TX
        55593  Niagara Falls city, NY
        55588  Tamarac city, FL
        55532  Bismarck city, ND
        55515  Jonesboro city, AR
        55469  Johnson City city, TN
        55419  Germantown CDP, MD
        55416  Wheaton city, IL
        55277  Bethesda CDP, MD
        55266  Paramount city, CA
        55245  Oak Lawn village, IL
        55204  Goleta CDP, CA
        55193  South Whittier CDP, CA
        55085  Pine Bluff city, AR
        55060  Rancho Cordova CDP, CA
        54994  Annandale CDP, VA
        54978  Fountain Valley city, CA
        54977  San Marcos city, CA
        54901  Eden Prairie city, MN
        54788  Tamiami CDP, FL
        54749  La Mesa city, CA
        54693  Kennewick city, WA
        54653  Chicopee city, MA
        54593  Santa Cruz city, CA
